"","genes","logFC","logCPM","F","PValue","log10.pvalue","Significant.Gene","Differential_Gene"
"4458","ENSG00000124440",-1.38071555994812,1.63055799315143,8.00983919572462,0.0223280303110414,1.65114958694987,"Yes","Down-Regulated"
"4459","ENSG00000124444",-0.0670238338248342,5.0340054623369,0.164171979622143,0.696048453461195,0.157360527144636,"No","No"
"4460","ENSG00000124459",-0.516513803976705,4.49468687177916,8.04014087674061,0.0221457689559689,1.65470923533695,"No","No"
"4461","ENSG00000124466",-1.52603680222595,3.58326810074148,34.5050931614336,0.00038428281076953,3.41534904138759,"Yes","Down-Regulated"
"4462","ENSG00000124486",-0.207832833057996,7.51710546507299,1.75949478919431,0.221592997511439,0.654443967726064,"No","No"
"4463","ENSG00000124493",1.2329811889689,1.52215904844166,6.45425804265734,0.0349072501782208,1.45708436142534,"Yes","Up-Regulated"
"4464","ENSG00000124496",0.175088958862173,5.91934337527395,1.28344462965387,0.290328734095092,0.53710997952696,"No","No"
"4465","ENSG00000124507",1.04584974479046,0.0234582796129777,3.17026058703627,0.113168878987891,0.9462729860633,"No","No"
"4466","ENSG00000124508",0.314995817558309,4.92536265802437,3.2358490587724,0.110053976816845,0.958394259531296,"No","No"
"4467","ENSG00000124523",-0.570700402855558,4.17145439588293,7.7497564152159,0.0239732018282273,1.62027395831228,"No","No"
"4468","ENSG00000124532",0.399066611624059,4.47747287732132,3.47028584304407,0.0997953252830804,1.00088980191215,"No","No"
"4469","ENSG00000124535",0.168706949355258,6.67264425247591,1.93572023870701,0.201900458561355,0.694862694674786,"No","No"
"4470","ENSG00000124541",-0.0737658580866,6.1646331422118,0.310088707939852,0.592980217027959,0.226959795301687,"No","No"
"4471","ENSG00000124562",0.0972271279141479,6.37355625084086,0.543959438180827,0.482034486978483,0.316921889212064,"No","No"
"4472","ENSG00000124570",-0.164817263924407,5.80223376101908,0.820472471564176,0.39171669487024,0.407027918532522,"No","No"
"4473","ENSG00000124571",-0.0249720374766459,6.68275919592402,0.0293575291055993,0.868244983240769,0.0613577173833335,"No","No"
