"","SRR7992451Aligned.sortedByCoord.out_sorted.bam","SRR7992456Aligned.sortedByCoord.out_sorted.bam"
"peak_1045",110,65
"peak_1046",3294,1206
"peak_1047",599,383
"peak_1048",46,6
"peak_1049",1139,614
"peak_1050",739,207
"peak_1051",2034,760
"peak_1052",1512,604
"peak_1053",879,531
"peak_1054",389,264
"peak_1055",1999,425
"peak_1056",193,102
"peak_1057",143,65
"peak_1058",103,53
"peak_1059",191,123
"peak_1060",81,44
"peak_1061",151,92
"peak_1062",12137,3530
"peak_1063",433,251
"peak_1064",92,50
"peak_1065",137,82
"peak_1066",599,322
"peak_1067",562,314
"peak_1068",596,380
"peak_1069",183,104
"peak_1070",77,39
"peak_1071",113,45
"peak_1072",554,126
"peak_1073",230,123
"peak_1074",78,33
"peak_1075",51,21
"peak_1076",128,74
"peak_1077",444,224
"peak_1078",807,272
"peak_1079",160,98
"peak_1080",341,198
"peak_1081",1933,545
"peak_1082",196,126
"peak_1083",481,196
"peak_1084",220,53
"peak_1085",411,190
"peak_1086",221,100
"peak_1087",1404,493
"peak_1088",4025,1128
"peak_1089",954,570
"peak_1090",4870,2880
"peak_1091",144,81
"peak_1092",772,320
"peak_1093",98,57
"peak_1094",133,67
"peak_1095",201,131
"peak_1096",2564,535
"peak_1097",751,213
"peak_1098",395,151
"peak_1099",394,188
"peak_1100",672,187
"peak_1101",556,141
"peak_1102",63,25
"peak_1103",61,22
"peak_1104",305,70
"peak_1105",312,84
"peak_1106",131,61
"peak_1107",45,14
"peak_1108",25561,9173
"peak_1109",1422,410
"peak_1110",423,177
"peak_1111",747,363
"peak_1112",243,164
"peak_1113",430,283
"peak_1114",430,279
"peak_1115",121,66
"peak_1116",375,117
"peak_1117",35,4
"peak_1118",931,542
"peak_1119",50,9
"peak_1120",414,117
"peak_1121",154,68
"peak_1122",92,51
"peak_1123",349,113
"peak_1124",186,52
"peak_1125",199,118
"peak_1126",268,113
"peak_1127",105,31
"peak_1128",181,77
"peak_1129",124,73
"peak_1130",97,23
"peak_1131",247,40
"peak_1132",2232,673
"peak_1133",2738,1414
"peak_1134",132,80
"peak_1135",568,281
"peak_1136",147,97
"peak_1137",126,79
"peak_1138",73,25
"peak_1139",148,70
"peak_1140",134,76
"peak_1141",57,9
"peak_1142",63,25
"peak_1143",194,41
"peak_1144",162,52
"peak_1145",216,41
"peak_1146",172,110
"peak_1147",86,51
"peak_1148",260,122
"peak_1149",95,62
"peak_1150",269,174
"peak_1151",55,22
"peak_1152",84,23
"peak_1153",498,145
"peak_1154",117,54
"peak_1155",1682,1069
"peak_1156",1927,1181
"peak_1157",1185,481
"peak_1158",1748,859
"peak_1159",264,130
"peak_1160",776,416
"peak_1161",169,74
"peak_1162",81,47
"peak_1163",642,332
"peak_1164",327,180
"peak_1165",17203,5065
"peak_1166",82,45
"peak_1167",114,27
"peak_1168",191,47
"peak_1169",61,30
"peak_1170",1262,372
"peak_1171",434,139
"peak_1172",264,129
"peak_1173",371,241
"peak_1174",538,167
"peak_1175",66,31
"peak_1176",130,39
"peak_1177",206,110
"peak_1178",1238,606
"peak_1179",2132,612
"peak_1180",536,190
"peak_1181",301,133
"peak_1182",263,147
"peak_1183",1746,429
"peak_1184",329,100
"peak_1185",635,205
"peak_1186",680,458
"peak_1187",181,51
"peak_1188",34,6
"peak_1189",45,9
"peak_1190",285,83
"peak_1191",857,563
"peak_1192",140,53
"peak_1193",189,41
"peak_1194",51,18
"peak_1195",461,148
"peak_1196",106,37
"peak_1197",123,78
"peak_1198",263,166
"peak_1199",147,99
"peak_1200",361,220
"peak_1201",1119,571
"peak_1202",233,146
"peak_1203",421,161
"peak_1204",221,122
"peak_1205",69,19
"peak_1206",4306,1300
