"","SRR7992451.sorted.bam","SRR7992456.sorted.bam"
"peak_1271",1740,769
"peak_1272",1254,320
"peak_1273",448,87
"peak_1274",37,10
"peak_1275",125,35
"peak_1276",303,61
"peak_1277",134,26
"peak_1278",62,20
"peak_1279",197,88
"peak_1280",65,17
"peak_1281",83,20
"peak_1282",142,22
"peak_1283",243,119
"peak_1284",301,182
"peak_1285",50,19
"peak_1286",920,373
"peak_1287",101,38
"peak_1288",470,283
"peak_1289",294,190
"peak_1290",2074,774
"peak_1291",887,399
"peak_1292",6904,2002
"peak_1293",386,235
"peak_1294",465,332
"peak_1295",238,55
"peak_1296",1831,1201
"peak_1297",261,130
"peak_1298",10460,3762
"peak_1299",1053,519
"peak_1300",474,110
"peak_1301",1089,432
"peak_1302",45,6
"peak_1303",59,23
"peak_1304",186,95
"peak_1305",142,49
"peak_1306",52,21
"peak_1307",79,40
"peak_1308",179,89
"peak_1309",236,132
"peak_1310",38,9
"peak_1311",154,56
"peak_1312",231,97
"peak_1313",160,69
"peak_1314",87,36
"peak_1315",315,33
"peak_1316",127,60
"peak_1317",80,46
"peak_1318",101,63
"peak_1319",488,293
"peak_1320",139,87
