"","baseMean","log2FoldChange","lfcSE","pvalue","padj","baseMeanCtrl","baseMeanCspr","entrez","log10.pvalue","Significant.Gene","Differential_Gene","label"
"26271",1597.21872630783,-1.24753865573551,0.106763538821342,5.57047527553161e-32,9.13049612842649e-31,2251.59894092294,942.838511692727,"FBXO5",30.0395056233437,"Yes","Down-Regulated","Yes"
"4988",9.22687671691144,3.27701558780763,1.69311732420819,0.0080266818645135,0.0171057050531663,0.726417888559588,17.7273355452633,"OPRM1",1.76685902060847,"Yes","Up-Regulated","Yes"
"26034",7.28334086586075,2.58964369181481,1.84562227673513,0.0178933382224164,0.0350962791924618,0.754308371176034,13.8123733605455,"IPCEF1",1.45473892375745,"Yes","Up-Regulated","Yes"
"49861",39.0586141905351,-2.06676744824619,0.540992509079244,1.82805755117244e-05,5.83214216370201e-05,64.5370994702735,13.5801289107967,"CLDN20",4.2341718982431,"Yes","Down-Regulated","Yes"
"100874300",5.6349587174957,3.62385262210435,2.9786098666056,0.00498063332323835,0.0110798400917617,0,11.2699174349914,"SYNJ2-IT1",1.95546650745656,"Yes","Up-Regulated","Yes"
"84947",271.101318573037,1.02085303053546,0.208972184250627,5.04550876670156e-07,1.87436911336583e-06,176.345877321621,365.856759824453,"SERAC1",5.72714488083731,"Yes","Up-Regulated","Yes"
"94120",27.039646563189,1.39777265664813,0.660811567236301,0.00851766255222044,0.0180503095713852,12.5164470012117,41.5628461251663,"SYTL3",1.74351534533774,"Yes","Up-Regulated","Yes"
"100130967",24.7311060523306,1.42688987745697,0.687065703176211,0.00889814520571578,0.0187882662386362,11.1472826719418,38.3149294327194,"C6orf99",1.72611329428657,"Yes","Up-Regulated","Yes"
"117289",8.95621699254087,3.20220830805928,1.70808917612433,0.00888793013789027,0.018772214227544,0.726417888559588,17.1860160965222,"TAGAP",1.72648449828495,"Yes","Up-Regulated","Yes"
"84624",4.59597520446744,2.48816520615466,3.66209650761069,0.0107566347247721,0.0222857859952376,0,9.19195040893489,"FNDC1",1.65197204421748,"Yes","Up-Regulated","Yes"
"677806",4.47006926182331,-4.70938699910569,3.22090824942923,0.0024635505952936,0.00580130771670035,8.94013852364662,0,"SNORA20",2.23647409779381,"Yes","Down-Regulated","Yes"
"677812",8.92374169638841,-2.43403713962124,1.29346532431781,0.00467758724568133,0.0104553267129955,16.2043174092425,1.64316598353431,"SNORA29",1.98066239159484,"Yes","Down-Regulated","Yes"
"729603",119.60134942011,-1.91264824384449,0.319028747037092,3.86508527857005e-10,1.82373135057572e-09,191.376263779909,47.8264350603111,"LOC729603",8.73903913615865,"Yes","Down-Regulated","Yes"
"4018",31.634692451071,2.46129271352383,0.694174349732247,5.19442921207547e-05,0.00015685167727245,8.21372063508703,55.0556642670549,"LPA",3.8045108328714,"Yes","Up-Regulated","Yes"
"56895",1391.83831619671,1.35247795457561,0.113810392724961,4.90933675751718e-33,8.44499955878096e-32,779.476868579031,2004.19976381438,"AGPAT4",31.0734003687832,"Yes","Up-Regulated","Yes"
"100289495",32.8998205894778,1.23363561155343,0.601524041954008,0.012151331834833,0.0248138139619128,16.9307352978021,48.8689058811535,"LOC100289495",1.60530647815783,"Yes","Up-Regulated","Yes"
"8635",1179.83034243255,1.54572032514669,0.131913640075376,2.80545119075649e-32,4.65143807427425e-31,597.460365902547,1762.20031896256,"RNASET2",30.3324127565365,"Yes","Up-Regulated","Yes"
"11116",1235.05808200452,-1.14839959531947,0.115420988362317,1.04773096933212e-23,1.12408129980013e-22,1706.15922748945,763.956936519589,"FGFR1OP",21.949202277043,"Yes","Down-Regulated","Yes"
"401285",7.2929686295177,4.56481129854142,2.73314014127574,0.00158665810791296,0.0038734657218208,0,14.5859372590354,"TCP10L2",2.41190028296302,"Yes","Up-Regulated","Yes"
"6953",7.48155769481246,4.58708752442216,2.76429437577808,0.00163151264320046,0.00397486419255598,0,14.9631153896249,"TCP10",2.40067770510339,"Yes","Up-Regulated","Yes"
"653483",52.6954923557917,-1.32125139634049,0.440601554879785,0.00080835776058082,0.00207717491315677,77.6405119469626,27.7504727646208,"AFDN-DT",2.68252693118741,"Yes","Down-Regulated","Yes"
"101929460",4.80377190707309,2.81373740033397,3.424178406221,0.0091372033470038,0.01923760018762,0,9.60754381414619,"LOC101929460",1.71584910538959,"Yes","Up-Regulated","Yes"
"6991",103.566163023704,-1.45193371327086,0.315642347850843,1.15951921320409e-06,4.15775696579621e-06,153.883969082039,53.2483569653689,"TCTE3",5.3811409001653,"Yes","Down-Regulated","Yes"
"101929692",581.413361156259,-1.29493237706349,0.159406678627301,1.49386877454569e-16,1.07365280315298e-15,828.647630459087,334.179091853432,"LOC101929692",14.9691361376799,"Yes","Down-Regulated","Yes"
"5154",171.592380736034,-1.20470962506267,0.252422620394773,6.68747620581556e-07,2.45222630384737e-06,241.666440986219,101.518320485849,"PDGFA",5.61043945341259,"Yes","Down-Regulated","Yes"
"51608",2687.46680967651,1.55116625271376,0.104006979794556,7.41633452142884e-51,2.90639407772504e-49,1361.5138505856,4013.41976876742,"GET4",48.5366455000937,"Yes","Up-Regulated","Yes"
"84310",1582.86272466462,1.94999717593113,0.127951113162937,3.69945208682861e-53,1.59157665228551e-51,646.380113439056,2519.34533589019,"C7orf50",50.7981724403839,"Yes","Up-Regulated","Yes"
"115330",134.819313033656,2.583398917647,0.329533730367137,6.53959505643413e-16,4.51921871902472e-15,37.1018279412399,232.536798126071,"GPR146",14.3449366393798,"Yes","Up-Regulated","Yes"
"26173",7658.11039748128,1.68307076158705,0.102654771805078,4.8850638626008e-61,2.88473058889035e-59,3621.33030816521,11694.8904867973,"INTS1",58.5398947402974,"Yes","Up-Regulated","Yes"
"7975",739.51580769817,1.63545652480403,0.144088332498164,1.90458560719438e-30,2.888911905522e-29,357.163089245598,1121.86852615074,"MAFK",28.5392657013296,"Yes","Up-Regulated","Yes"
"114796",223.14598757818,2.79787266450104,0.267408299536408,1.84061079835176e-26,2.29586372382372e-25,54.6195287145193,391.67244644184,"PSMG3-AS1",24.6390538940388,"Yes","Up-Regulated","Yes"
"101927125",137.879970760068,-2.58301269415568,0.310434950560149,9.79923027028541e-18,7.58938588737807e-17,237.532322856325,38.2276186638114,"ELFN1-AS1",16.1197933646201,"Yes","Down-Regulated","Yes"
"8379",1361.55259712073,1.3810880439356,0.115403485462509,1.71451683366531e-33,3.05410709362167e-32,751.566193504986,1971.53900073647,"MAD1L1",31.5151157382837,"Yes","Up-Regulated","Yes"
"29886",1653.53893237034,1.64340607289001,0.110735399739082,1.97693416092116e-50,7.55511328093876e-49,797.888330136568,2509.18953460412,"SNX8",48.1217590194894,"Yes","Up-Regulated","Yes"
"55501",766.66059552132,2.84077937470475,0.19190663485679,1.72524815586913e-50,6.62852027657812e-49,185.008376359635,1348.312814683,"CHST12",48.1785834108775,"Yes","Up-Regulated","Yes"
