Geneid	LT34	LT35	LT36	LT46	LT47	LT48
ENSG00000026508.16	1697	4300	2914	1318	3187	2799
ENSG00000026559.13	431	370	467	205	416	518
ENSG00000026652.13	295	343	345	111	151	195
ENSG00000026751.16	0	11	2	0	1	0
ENSG00000026950.16	146	620	275	27	291	114
ENSG00000027001.9	103	212	146	94	146	210
ENSG00000027075.13	153	111	78	67	43	100
ENSG00000027644.4	1	0	0	0	1	0
ENSG00000027697.12	357	470	403	257	287	417
ENSG00000027847.13	248	424	312	132	372	383
ENSG00000027869.11	19	15	18	9	35	33
ENSG00000028116.16	282	374	210	239	215	263
ENSG00000028137.16	833	1154	1154	250	691	840
ENSG00000028203.17	346	498	312	211	228	356
ENSG00000028277.20	222	654	413	60	486	268
ENSG00000028310.17	505	688	660	332	601	740
ENSG00000028528.14	710	1151	899	501	1038	1210
ENSG00000028839.9	201	278	189	307	390	413
ENSG00000029153.14	250	332	252	178	140	215
ENSG00000029363.15	408	734	499	376	526	677
ENSG00000029364.11	736	1234	995	515	787	991
ENSG00000029534.19	486	779	606	193	436	563
ENSG00000029559.6	0	0	0	0	0	0
ENSG00000029639.10	118	147	123	72	114	136
ENSG00000029725.16	558	880	610	379	538	562
ENSG00000029993.14	281	397	312	249	402	431
ENSG00000030066.13	426	718	654	424	507	857
ENSG00000030110.12	422	691	614	241	769	733
ENSG00000030304.12	0	2	0	0	0	0
ENSG00000030419.16	110	169	73	113	67	112
ENSG00000030582.16	6109	8486	10240	2726	6329	6812
ENSG00000031003.10	396	598	461	250	279	365
ENSG00000031081.10	1394	1495	1496	721	1048	1455
ENSG00000031691.6	125	98	68	91	103	108
ENSG00000031698.12	4472	3483	4017	2273	2923	4425
ENSG00000031823.14	918	1562	1299	672	1537	1868
ENSG00000032219.18	194	215	122	265	242	272
ENSG00000032389.12	534	664	634	271	563	616
ENSG00000032444.15	1783	2272	2798	854	2246	2483
ENSG00000032742.17	45	56	25	25	27	31
ENSG00000033011.11	385	541	584	211	447	586
ENSG00000033030.13	242	340	303	208	275	498
ENSG00000033050.7	1142	1409	1527	871	1325	1819
ENSG00000033100.14	730	1575	1309	557	1241	1559
ENSG00000033122.18	2	0	0	0	0	3
ENSG00000033170.16	469	742	551	295	363	528
ENSG00000033178.12	468	694	512	470	425	619
ENSG00000033327.12	412	508	538	265	554	691
ENSG00000033627.14	888	940	975	356	365	666
ENSG00000033800.13	347	537	398	234	313	422
ENSG00000033867.16	401	464	500	370	349	617
ENSG00000034053.14	567	880	879	324	595	909
ENSG00000034152.18	1863	2281	2153	904	1802	1910
ENSG00000034239.10	12	20	10	4	4	2
ENSG00000034510.5	7691	9057	6659	3643	7515	6693
ENSG00000034533.11	125	123	118	64	84	116
ENSG00000034677.11	670	625	561	427	443	644
ENSG00000034693.14	117	155	113	130	156	202
ENSG00000034713.7	1097	1057	902	523	608	692
ENSG00000034971.14	0	5	7	0	1	1
ENSG00000035115.21	151	110	120	81	61	104
ENSG00000035141.7	550	554	474	415	485	625
ENSG00000035403.16	1692	2610	2654	1048	1588	2360
ENSG00000035499.12	65	81	76	57	84	114
ENSG00000035664.11	60	68	79	14	39	53
ENSG00000035681.7	556	775	530	308	507	593
ENSG00000035687.9	602	730	589	464	542	653
ENSG00000035720.7	0	0	0	0	0	0
ENSG00000035862.12	4503	8626	7138	1595	5636	4486
ENSG00000035928.14	440	710	410	338	416	580
ENSG00000036054.12	438	585	397	324	342	482
ENSG00000036257.12	1036	1369	1030	1083	1485	1544
ENSG00000036448.9	23	31	41	13	23	23
ENSG00000036473.6	0	0	0	0	0	0
ENSG00000036530.8	6	7	3	2	3	4
ENSG00000036549.12	330	490	318	213	324	400
ENSG00000036565.14	0	0	0	0	0	0
ENSG00000036672.15	232	238	200	131	172	262
ENSG00000036828.13	0	0	0	0	0	1
ENSG00000037042.8	96	211	178	32	135	122
ENSG00000037241.7	273	332	345	146	383	382
ENSG00000037280.15	130	164	193	162	252	462
ENSG00000037474.14	510	937	692	538	886	1099
ENSG00000037637.10	650	713	729	436	670	859
ENSG00000037749.11	248	265	286	182	188	347
ENSG00000037757.13	195	174	186	58	69	142
ENSG00000037897.16	204	241	191	115	213	233
ENSG00000037965.5	2	16	4	5	10	12
ENSG00000038002.8	68	129	99	31	83	85
ENSG00000038210.12	103	187	125	99	170	164
ENSG00000038219.12	497	679	499	481	628	739
ENSG00000038274.16	288	514	361	201	311	298
ENSG00000038295.7	3	1	2	5	2	5
ENSG00000038358.14	890	1138	1530	604	1214	1687
ENSG00000038382.17	1490	2125	2181	938	1683	2221
ENSG00000038427.15	43	60	38	26	53	27
ENSG00000038532.14	954	1207	1145	622	1128	1450
ENSG00000038945.14	0	2	0	0	7	0
ENSG00000039068.18	7	4	4	5	3	5
ENSG00000039123.15	618	773	538	478	521	679
ENSG00000039139.9	26	25	26	15	17	17
ENSG00000039319.16	199	367	222	226	191	309
ENSG00000039523.17	1595	2317	2048	1199	3090	3135
ENSG00000039537.13	0	0	0	0	0	0
ENSG00000039560.13	1379	1736	1161	812	1149	1338
ENSG00000039600.10	6	4	8	0	7	8
ENSG00000039650.9	670	714	834	198	421	555
ENSG00000039987.6	4	0	1	1	1	2
ENSG00000040199.18	363	558	440	295	524	715
ENSG00000040275.16	134	170	128	67	99	97
ENSG00000040341.17	325	386	241	242	178	295
ENSG00000040487.12	653	918	1131	508	1254	1496
ENSG00000040531.14	788	1051	1149	543	1349	1455
ENSG00000040608.13	130	220	209	139	343	428
ENSG00000040633.12	798	1221	1097	761	1713	1741
ENSG00000040731.10	1	0	0	0	0	0
ENSG00000040933.15	393	466	490	155	342	361
ENSG00000041353.9	29	128	28	19	82	26
ENSG00000041357.15	1107	1555	1215	813	1078	1097
ENSG00000041515.15	19	22	31	9	11	28
ENSG00000041802.10	544	735	818	493	649	981
ENSG00000041880.14	68	156	107	24	171	174
